bill_id,model,field,correct,method
bill_01,gemini,vendor,True,fuzzy(1.00)
bill_01,gemini,bill_number,True,numeric
bill_01,gemini,date,False,exact
bill_01,gemini,amount,True,numeric
bill_01,gemini,currency,True,normalized_exact
bill_01,gemini,gst_details,True,pct_match
bill_02,gemini,vendor,True,fuzzy(1.00)
bill_02,gemini,bill_number,True,numeric
bill_02,gemini,date,True,exact
bill_02,gemini,amount,True,numeric
bill_02,gemini,currency,True,normalized_exact
bill_02,gemini,gst_details,True,both_no_gst
bill_03,gemini,vendor,True,fuzzy(1.00)
bill_03,gemini,bill_number,False,both_blank
bill_03,gemini,date,True,exact
bill_03,gemini,amount,True,numeric
bill_03,gemini,currency,True,normalized_exact
bill_03,gemini,gst_details,True,both_no_gst
bill_04,gemini,vendor,False,fuzzy(0.17)
bill_04,gemini,bill_number,False,numeric
bill_04,gemini,date,True,exact
bill_04,gemini,amount,True,numeric
bill_04,gemini,currency,True,normalized_exact
bill_04,gemini,gst_details,True,both_no_gst
bill_05,gemini,vendor,True,fuzzy(1.00)
bill_05,gemini,bill_number,True,both_blank
bill_05,gemini,date,True,both_blank
bill_05,gemini,amount,True,numeric
bill_05,gemini,currency,True,normalized_exact
bill_05,gemini,gst_details,True,both_no_gst
bill_06,gemini,vendor,True,fuzzy(1.00)
bill_06,gemini,bill_number,True,numeric
bill_06,gemini,date,True,exact
bill_06,gemini,amount,True,numeric
bill_06,gemini,currency,True,normalized_exact
bill_06,gemini,gst_details,True,both_no_gst
bill_07,gemini,vendor,True,fuzzy(0.85)
bill_07,gemini,bill_number,True,numeric
bill_07,gemini,date,True,exact
bill_07,gemini,amount,True,numeric
bill_07,gemini,currency,True,normalized_exact
bill_07,gemini,gst_details,True,both_no_gst
bill_08,gemini,vendor,False,fuzzy(0.35)
bill_08,gemini,bill_number,True,numeric
bill_08,gemini,date,True,both_blank
bill_08,gemini,amount,True,numeric
bill_08,gemini,currency,True,normalized_exact
bill_08,gemini,gst_details,True,both_no_gst
bill_09,gemini,vendor,True,fuzzy(1.00)
bill_09,gemini,bill_number,False,numeric
bill_09,gemini,date,False,exact
bill_09,gemini,amount,True,numeric
bill_09,gemini,currency,True,normalized_exact
bill_09,gemini,gst_details,True,both_no_gst
bill_10,gemini,vendor,True,fuzzy(0.92)
bill_10,gemini,bill_number,True,numeric
bill_10,gemini,date,True,exact
bill_10,gemini,amount,True,numeric
bill_10,gemini,currency,True,normalized_exact
bill_10,gemini,gst_details,False,presence_mismatch
bill_11,gemini,vendor,True,fuzzy(1.00)
bill_11,gemini,bill_number,True,numeric
bill_11,gemini,date,True,exact
bill_11,gemini,amount,True,numeric
bill_11,gemini,currency,True,normalized_exact
bill_11,gemini,gst_details,False,presence_mismatch
bill_12,gemini,vendor,False,fuzzy(0.71)
bill_12,gemini,bill_number,True,numeric
bill_12,gemini,date,True,both_blank
bill_12,gemini,amount,True,numeric
bill_12,gemini,currency,False,normalized_exact
bill_12,gemini,gst_details,True,both_no_gst
bill_13,gemini,vendor,True,fuzzy(1.00)
bill_13,gemini,bill_number,True,numeric
bill_13,gemini,date,True,exact
bill_13,gemini,amount,True,numeric
bill_13,gemini,currency,True,normalized_exact
bill_13,gemini,gst_details,True,both_no_gst
bill_01,groq,vendor,True,fuzzy(1.00)
bill_01,groq,bill_number,True,numeric
bill_01,groq,date,False,exact
bill_01,groq,amount,True,numeric
bill_01,groq,currency,True,normalized_exact
bill_01,groq,gst_details,True,pct_match
bill_02,groq,vendor,True,fuzzy(1.00)
bill_02,groq,bill_number,True,numeric
bill_02,groq,date,True,exact
bill_02,groq,amount,True,numeric
bill_02,groq,currency,True,normalized_exact
bill_02,groq,gst_details,True,both_no_gst
bill_03,groq,vendor,True,fuzzy(0.93)
bill_03,groq,bill_number,False,both_blank
bill_03,groq,date,False,exact
bill_03,groq,amount,True,numeric
bill_03,groq,currency,True,normalized_exact
bill_03,groq,gst_details,True,both_no_gst
bill_04,groq,vendor,True,fuzzy(1.00)
bill_04,groq,bill_number,False,numeric
bill_04,groq,date,False,exact
bill_04,groq,amount,True,numeric
bill_04,groq,currency,True,normalized_exact
bill_04,groq,gst_details,True,both_no_gst
bill_05,groq,vendor,True,fuzzy(0.95)
bill_05,groq,bill_number,True,both_blank
bill_05,groq,date,True,both_blank
bill_05,groq,amount,True,numeric
bill_05,groq,currency,True,normalized_exact
bill_05,groq,gst_details,True,both_no_gst
bill_06,groq,vendor,True,fuzzy(0.84)
bill_06,groq,bill_number,True,numeric
bill_06,groq,date,False,exact
bill_06,groq,amount,True,numeric
bill_06,groq,currency,True,normalized_exact
bill_06,groq,gst_details,True,both_no_gst
bill_07,groq,vendor,True,fuzzy(0.85)
bill_07,groq,bill_number,True,numeric
bill_07,groq,date,True,exact
bill_07,groq,amount,True,numeric
bill_07,groq,currency,True,normalized_exact
bill_07,groq,gst_details,True,both_no_gst
bill_08,groq,vendor,False,fuzzy(0.73)
bill_08,groq,bill_number,True,numeric
bill_08,groq,date,True,both_blank
bill_08,groq,amount,True,numeric
bill_08,groq,currency,True,normalized_exact
bill_08,groq,gst_details,True,both_no_gst
bill_09,groq,vendor,True,fuzzy(1.00)
bill_09,groq,bill_number,False,numeric
bill_09,groq,date,False,exact
bill_09,groq,amount,True,numeric
bill_09,groq,currency,True,normalized_exact
bill_09,groq,gst_details,True,both_no_gst
bill_10,groq,vendor,True,fuzzy(0.92)
bill_10,groq,bill_number,True,numeric
bill_10,groq,date,True,exact
bill_10,groq,amount,True,numeric
bill_10,groq,currency,True,normalized_exact
bill_10,groq,gst_details,False,presence_mismatch
bill_11,groq,vendor,True,fuzzy(1.00)
bill_11,groq,bill_number,True,numeric
bill_11,groq,date,True,exact
bill_11,groq,amount,True,numeric
bill_11,groq,currency,True,normalized_exact
bill_11,groq,gst_details,False,presence_mismatch
bill_12,groq,vendor,False,fuzzy(0.52)
bill_12,groq,bill_number,True,numeric
bill_12,groq,date,True,both_blank
bill_12,groq,amount,False,numeric
bill_12,groq,currency,False,normalized_exact
bill_12,groq,gst_details,True,both_no_gst
bill_13,groq,vendor,True,fuzzy(1.00)
bill_13,groq,bill_number,True,numeric
bill_13,groq,date,False,exact
bill_13,groq,amount,True,numeric
bill_13,groq,currency,True,normalized_exact
bill_13,groq,gst_details,True,both_no_gst
bill_01,mistral,vendor,False,fuzzy(0.33)
bill_01,mistral,bill_number,True,numeric
bill_01,mistral,date,False,exact
bill_01,mistral,amount,False,numeric
bill_01,mistral,currency,True,normalized_exact
bill_01,mistral,gst_details,False,pct_mismatch
bill_02,mistral,vendor,True,fuzzy(1.00)
bill_02,mistral,bill_number,True,numeric
bill_02,mistral,date,False,exact
bill_02,mistral,amount,True,numeric
bill_02,mistral,currency,True,normalized_exact
bill_02,mistral,gst_details,True,both_no_gst
bill_03,mistral,vendor,True,fuzzy(0.92)
bill_03,mistral,bill_number,False,both_blank
bill_03,mistral,date,False,exact
bill_03,mistral,amount,True,numeric
bill_03,mistral,currency,True,normalized_exact
bill_03,mistral,gst_details,True,both_no_gst
bill_04,mistral,vendor,False,fuzzy(0.20)
bill_04,mistral,bill_number,True,numeric
bill_04,mistral,date,False,exact
bill_04,mistral,amount,False,numeric
bill_04,mistral,currency,True,normalized_exact
bill_04,mistral,gst_details,True,both_no_gst
